TT     PID     AT     CT   IO_D      WT     RT    TRT
23976    221    557     94      3    23418      0  23418
24166    196    477     35      9    23688    276  23688
24324     26     58     68      9    24265      0  24265
24381    665   1628     34      5    22752    563  22752
24564    137    336     31     33    24227    159  24227
24616     40     87     36     24    24528    171  24528
24723    340    826     45      0    23896    950  23896
24885    274    686     30      9    24198   4485  24198
24903    161    392     35      0    24510   4810  24510
24908    282    702     28     10    24205   4490  24205
25209    320    774     27     36    24434   4797  24434
25447    127    309     43      0    25137   1255  25137
25722    424   1042     31     27    24679   2356  24679
25772     10     12     78      9    25759      6  25759
25837    285    706     42      0    25130    460  25130
25908    650   1597     36      7    24310   2101  24310
25933    654   1606     32     13    24326   2105  24326
26079    342    836     43     32    25242      5  25242
26085    123    304     47      0    25780    161  25780
26137    375    919     30      9    25217   3116  25217
26189    264    669     29     29    25519   3425  25519
26274    508   1231     33      6    25042   3021  25042
26284     45     97     48     27    26186     70  26186
26363      6      7     60      0    26355     25  26355
26478    586   1429     33     29    25048    484  25048
26561    316    760     43      7    25800    520  25800
26588    211    527     33      4    26060   4214  26060
26639    678   1656     30     10    24982   3131  24982
26850     86    206     35     30    26643    651  26643
26892    278    696     38      0    26195   4487  26195
27007    576   1404     41     32    25602      0  25602
27162    335    813     44      0    26348    225  26348
27177    418   1033     40      0    26143   4582  26143
27321    145    357     36     16    26963   2521  26963
27346      9     10     58      0    27335     27  27335
27366     28     66     59      0    27299     57  27299
27403    621   1520     36     22    25882   1480  25882
27443    105    256     40     31    27186   1211  27186
27452     37     83     63      0    27368    229  27368
27459    247    625     48     38    26833      6  26833
27471    537   1317     35     21    26153   1819  26153
27508     93    219     41      4    27288   1129  27288
27541    542   1325     42      0    26215   1953  26215
27652    408   1010     38     22    26641   1413  26641
27705    389    955     75      8    26749      3  26749
27762    464   1119     33     26    26642   2410  26642
27898    484   1176     48      0    26721   1290  26721
28274    174    430     45     23    27843    504  27843
28302    670   1640     34     34    26661   2805  26661
28391    559   1361     42      1    27029   1188  27029
28586    700   1712     33     13    26873   3178  26873
28618    693   1691     45      0    26926    931  26926
28717     58    142     44      1    28574    842  28574
28763    277    692     38      1    28070   4486  28070
28891    611   1490     33     12    27400   3898  27400
28903    582   1418     79      1    27484      0  27484
28947    512   1241     47      0    27705   1477  27705
29049    517   1252     41      7    27796   1491  27796
29116     81    199     54      0    28916    181  28916
29149    234    591     42      9    28557   2257  28557
29186     21     40     53      5    29145     29  29145
29188     91    214     43     27    28973    186  28973
29275    128    314     45      0    28960   2783  28960
29344    539   1320     51      0    28023    466  28023
29463    242    610     51      0    28852    483  28852
29470    429   1052     37      9    28417   2368  28417
29497    445   1087     41      8    28409   2387  28409
29553    414   1026     53      7    28526      8  28526
29681    410   1015     48      8    28665   1413  28665
29684    656   1612     50      0    28071    834  28071
29798    146    361     58     22    29436      0  29436
29845    386    944     43      6    28900   3100  28900
29852    151    375     48      5    29476      0  29476
29945    481   1166     47      1    28778   1366  28778
29972    308    742     48      1    29229    518  29229
29982    305    741     44     29    29240    504  29240
30040     50    120     54     18    29919      5  29919
30181    124    304     62     10    29876    166  29876
30183    563   1373     45      9    28809   1200  28809
30248    172    424     59     18    29823      7  29823
30253    173    427     85      9    29825      0  29825
30265     15     25     57      2    30239     64  30239
30296    682   1666     44      2    28629   3134  28629
30309    686   1677     38     11    28631   3148  28631
30331    303    738     45      7    29592    987  29592
30438    217    545     46      4    29892    223  29892
30458    197    481     48      0    29976   4599  29976
30526    162    396     48      0    30129   4816  30129
30596     31     72     42     30    30523     58  30523
30809     84    203     60      0    30605    649  30605
30833    329    790     55      0    30042    288  30042
30868    232    587     47      9    30280   2249  30280
30956    620   1516     43     12    29439   1479  29439
30978    625   1529     45     25    29448   1501  29448
31001      8      9     87      0    30991      9  30991
31095    357    869     47     15    30225    519  30225
31124     95    221     51      5    30902   1836  30902
31334    651   1597     45      3    29736   2096  29736
31440    160    391     66      0    31048    311  31048
31493    362    887     45      2    30605   3098  30605
31502    337    820     61     24    30681      0  30681
31522    181    455     46      1    31066   3599  31066
31591    400    985     59      0    30605    251  30605
31639     62    150     53      0    31488    854  31488
31646     46    102     59     28    31543      0  31543
31650     29     69     55      3    31580     59  31580
31654    367    902     57     30    30751      0  30751
31704    659   1617     56      0    30086    545  30086
31739    685   1674     44     10    30064   2806  30064
31758    579   1408     51      0    30349   3087  30349
31873    209    523     52      0    31349   4163  31349
31980    118    288     63      0    31691    252  31691
32015    315    760     56      0    31254    515  31254
32027    291    710     49      0    31316   4321  31316
32031    489   1185     43     19    30845   3830  30845
32130    167    411     52      0    31718   4811  31718
32134     43     92     55      0    32041    393  32041
32246    135    334     55      9    31911   1104  31911
32263    500   1214     53      0    31048   1097  31048
32376    519   1261     50     10    31114   1491  31114
32464     83    201     55      8    32262    189  32262
32686    225    567     64      0    32118   1520  32118
32769    462   1116     48     30    31652   2403  31652
32854    640   1571     48     36    31282   2061  31282
32887    652   1599     46     12    31287   2102  31287
32926    288    707     59      3    32218    474  32218
32980    112    275     75      0    32704    170  32704
33129    437   1071     65      4    32057      7  32057
33207     20     37     70      0    33169     22  33169
33254    578   1407     49      2    31846   3078  31846
33273    587   1432     55      3    31840    491  31840
33334    594   1448     49     13    31885   1137  31885
33337    352    860     54      4    32476    515  32476
33345    603   1470     54      0    31874   3184  31874
33370    213    534     52      1    32835   4162  32835
33405    676   1652     52      1    31752   3131  31752
33475    338    823     64      1    32651    944  32651
33489    647   1591     77      4    31897      7  31897
33593    280    697     45     15    32895   4491  32895
33686     22     42     64     26    33643      1  33643
33805    321    775     45      3    33029   4801  33029
33809    325    782     55      0    33026   4818  33026
33913     96    223     63     25    33689      0  33689
34020    130    320     51     32    33699   2787  33699
